,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
0,tr|A0A009H1Z0|A0A009H1Z0_9GAMM,Cytoplasmic,0.0000,0.0011,0.9962,0.0004,0.0021,0.0002
1,tr|A0A009HCT7|A0A009HCT7_9GAMM,Cytoplasmic,0.0001,0.0022,0.9934,0.0032,0.0009,0.0002
2,tr|A0A009HRD8|A0A009HRD8_ACIB9,Cytoplasmic,0.0000,0.0021,0.9953,0.0006,0.0018,0.0002
3,tr|A0A009I523|A0A009I523_ACIB9,Cytoplasmic,0.0001,0.0023,0.9919,0.0041,0.0014,0.0002
4,tr|A0A009N468|A0A009N468_9GAMM,Cytoplasmic,0.0000,0.0016,0.9950,0.0007,0.0022,0.0004
5,tr|A0A009N6V0|A0A009N6V0_9GAMM,Cytoplasmic,0.0001,0.0019,0.9935,0.0033,0.0009,0.0002
6,tr|A0A009PD57|A0A009PD57_ACIBA,Cytoplasmic,0.0000,0.0021,0.9953,0.0006,0.0018,0.0002
7,tr|A0A009QCK8|A0A009QCK8_ACIBA,Cytoplasmic,0.0001,0.0027,0.9900,0.0055,0.0015,0.0002
8,tr|A0A009R8H0|A0A009R8H0_9GAMM,Cytoplasmic,0.0000,0.0025,0.9947,0.0007,0.0017,0.0004
9,tr|A0A009RT57|A0A009RT57_9GAMM,Cytoplasmic,0.0001,0.0022,0.9934,0.0032,0.0009,0.0002
10,tr|A0A009SI62|A0A009SI62_ACIBA,Cytoplasmic,0.0000,0.0021,0.9953,0.0006,0.0018,0.0002
11,tr|A0A009TGX8|A0A009TGX8_ACIBA,Cytoplasmic,0.0001,0.0027,0.9900,0.0055,0.0015,0.0002
12,tr|A0A009YTH9|A0A009YTH9_9GAMM,Cytoplasmic,0.0001,0.0055,0.9860,0.0055,0.0023,0.0006
13,tr|A0A009ZCB5|A0A009ZCB5_9GAMM,Cytoplasmic,0.0000,0.0058,0.9836,0.0023,0.0044,0.0039
14,tr|A0A010INF0|A0A010INF0_9GAMM,Cytoplasmic,0.0000,0.0020,0.9949,0.0009,0.0019,0.0003
15,tr|A0A010JMD3|A0A010JMD3_9GAMM,Cytoplasmic,0.0001,0.0023,0.9931,0.0033,0.0010,0.0002
16,tr|A0A010RN88|A0A010RN88_PSEFL,Cytoplasmic,0.0000,0.0154,0.9821,0.0005,0.0009,0.0012
17,tr|A0A011MJ67|A0A011MJ67_9PAST,Cytoplasmic,0.0000,0.0110,0.9674,0.0101,0.0109,0.0006
18,tr|A0A011UXL5|A0A011UXL5_RUMAL,Cytoplasmic,0.0003,0.0074,0.8423,0.0691,0.0633,0.0176
19,tr|A0A011VUM0|A0A011VUM0_RUMAL,Cytoplasmic,0.0001,0.1351,0.8206,0.0093,0.0267,0.0083
20,tr|A0A013T945|A0A013T945_9GAMM,Cytoplasmic,0.0000,0.0025,0.9947,0.0007,0.0017,0.0004
21,tr|A0A013TCJ8|A0A013TCJ8_9GAMM,Cytoplasmic,0.0001,0.0021,0.9930,0.0038,0.0009,0.0002
22,tr|A0A013TSB9|A0A013TSB9_9GAMM,Cytoplasmic,0.0000,0.0009,0.9962,0.0006,0.0021,0.0003
23,tr|A0A013UUB9|A0A013UUB9_9GAMM,Cytoplasmic,0.0001,0.0022,0.9934,0.0032,0.0009,0.0002
24,tr|A0A014KZH8|A0A014KZH8_9ACTN,Cytoplasmic,0.0000,0.0013,0.9982,0.0000,0.0003,0.0002
25,tr|A0A014L8W3|A0A014L8W3_9ACTN,Cytoplasmic,0.0000,0.0111,0.9627,0.0201,0.0042,0.0018
26,tr|A0A014MBQ3|A0A014MBQ3_9GAMM,Cytoplasmic,0.0000,0.0277,0.9449,0.0174,0.0037,0.0063
27,tr|A0A014ME04|A0A014ME04_9ACTN,Cytoplasmic,0.0000,0.0046,0.9770,0.0020,0.0090,0.0075
28,tr|A0A014MEZ2|A0A014MEZ2_9ACTN,Cytoplasmic,0.0000,0.1620,0.8290,0.0051,0.0028,0.0010
29,tr|A0A014Q9J3|A0A014Q9J3_9BURK,Cytoplasmic,0.0000,0.0047,0.9882,0.0004,0.0020,0.0047
30,tr|A0A016XD06|A0A016XD06_9BURK,Cytoplasmic,0.0000,0.0086,0.9895,0.0002,0.0004,0.0013
31,tr|A0A016XKK4|A0A016XKK4_9BURK,Cytoplasmic,0.0000,0.1473,0.8120,0.0304,0.0014,0.0089
32,tr|A0A017HPD5|A0A017HPD5_9RHOB,Cytoplasmic,0.0000,0.1027,0.8739,0.0206,0.0018,0.0009
33,tr|A0A017RWW7|A0A017RWW7_9CLOT,Cytoplasmic,0.0000,0.0008,0.9519,0.0013,0.0457,0.0002
34,tr|A0A017T4D9|A0A017T4D9_9BACT,Cytoplasmic,0.0000,0.0388,0.9456,0.0112,0.0015,0.0028
35,tr|A0A021VSG6|A0A021VSG6_9CELL,Cytoplasmic,0.0000,0.0095,0.9864,0.0017,0.0020,0.0003
36,tr|A0A021X158|A0A021X158_9HYPH,Cytoplasmic,0.0000,0.0187,0.9796,0.0005,0.0011,0.0001
37,tr|A0A021X2N5|A0A021X2N5_9HYPH,Cytoplasmic,0.0000,0.0025,0.9960,0.0001,0.0003,0.0010
38,tr|A0A022FWJ5|A0A022FWJ5_9BURK,Cytoplasmic,0.0000,0.0395,0.9585,0.0003,0.0007,0.0011
39,tr|A0A022G2K5|A0A022G2K5_9BURK,Cytoplasmic,0.0000,0.0820,0.9051,0.0099,0.0003,0.0028
40,tr|A0A022GKV3|A0A022GKV3_9BURK,Cytoplasmic,0.0000,0.0131,0.9761,0.0078,0.0014,0.0016
41,tr|A0A022J069|A0A022J069_9GAMM,Cytoplasmic,0.0001,0.0031,0.9907,0.0049,0.0010,0.0002
42,tr|A0A022J4K3|A0A022J4K3_9GAMM,Cytoplasmic,0.0000,0.0018,0.9944,0.0009,0.0025,0.0004
43,tr|A0A022MDJ3|A0A022MDJ3_9ACTN,Cytoplasmic,0.0000,0.0232,0.9761,0.0003,0.0002,0.0002
44,tr|A0A022MDU0|A0A022MDU0_9ACTN,Cytoplasmic,0.0000,0.0046,0.9945,0.0001,0.0006,0.0002
45,tr|A0A022MH87|A0A022MH87_9ACTN,Cytoplasmic,0.0006,0.1638,0.8008,0.0298,0.0042,0.0008
46,tr|A0A022PFT7|A0A022PFT7_9GAMM,Cytoplasmic,0.0000,0.0106,0.9850,0.0004,0.0006,0.0034
47,tr|A0A023BSF7|A0A023BSF7_9FLAO,Cytoplasmic,0.0001,0.0104,0.9555,0.0034,0.0297,0.0008
48,tr|A0A023CVN5|A0A023CVN5_9LACO,Cytoplasmic,0.0002,0.0425,0.8269,0.0168,0.1134,0.0002
49,tr|A0A023D1X9|A0A023D1X9_ACIMT,Cytoplasmic,0.0000,0.0066,0.9754,0.0088,0.0069,0.0023
50,tr|A0A023DEV7|A0A023DEV7_9BACL,Cytoplasmic,0.0001,0.0065,0.9825,0.0011,0.0090,0.0008
51,tr|A0A023X4L8|A0A023X4L8_RUBRA,Cytoplasmic,0.0000,0.0024,0.9807,0.0017,0.0143,0.0009
52,tr|A0A024E5B7|A0A024E5B7_9PSED,Cytoplasmic,0.0000,0.0067,0.9787,0.0011,0.0125,0.0009
53,tr|A0A024H5T4|A0A024H5T4_9MICC,Cytoplasmic,0.0000,0.0237,0.9626,0.0055,0.0037,0.0045
54,tr|A0A024HH19|A0A024HH19_PSEKB,Cytoplasmic,0.0000,0.0409,0.9252,0.0009,0.0011,0.0319
55,tr|A0A024HIJ7|A0A024HIJ7_PSEKB,Cytoplasmic,0.0000,0.0093,0.9882,0.0008,0.0001,0.0016
56,tr|A0A024HN66|A0A024HN66_PSEKB,Cytoplasmic,0.0000,0.0040,0.9922,0.0023,0.0008,0.0006
57,tr|A0A024L7E2|A0A024L7E2_ECOLX,Cytoplasmic,0.0000,0.0213,0.9743,0.0005,0.0006,0.0033
58,tr|A0A024QEY5|A0A024QEY5_9BACI,Cytoplasmic,0.0000,0.0062,0.9783,0.0138,0.0014,0.0002
59,tr|A0A031FVN4|A0A031FVN4_9MICO,Cytoplasmic,0.0002,0.0799,0.7689,0.1334,0.0167,0.0010
60,tr|A0A031G0T6|A0A031G0T6_9PSED,Cytoplasmic,0.0000,0.0052,0.9922,0.0004,0.0013,0.0009
61,tr|A0A031G830|A0A031G830_9PSED,Cytoplasmic,0.0000,0.0057,0.9902,0.0005,0.0011,0.0024
62,tr|A0A031IC33|A0A031IC33_9BACL,Cytoplasmic,0.0000,0.0042,0.9900,0.0023,0.0027,0.0008
63,tr|A0A031IP61|A0A031IP61_9PSED,Cytoplasmic,0.0000,0.0042,0.9922,0.0003,0.0003,0.0030
64,tr|A0A031IUD7|A0A031IUD7_9PSED,Cytoplasmic,0.0000,0.0035,0.9923,0.0009,0.0003,0.0031
65,tr|A0A031J2X1|A0A031J2X1_9PSED,Cytoplasmic,0.0000,0.0135,0.9830,0.0015,0.0003,0.0016
66,tr|A0A031LYC4|A0A031LYC4_9GAMM,Cytoplasmic,0.0000,0.0040,0.9942,0.0003,0.0006,0.0009
67,tr|A0A037ZGW4|A0A037ZGW4_9RHOB,Cytoplasmic,0.0000,0.0038,0.9954,0.0001,0.0000,0.0007
68,tr|A0A051TS54|A0A051TS54_9MYCO,Cytoplasmic,0.0000,0.0334,0.9561,0.0069,0.0024,0.0011
69,tr|A0A051TYU7|A0A051TYU7_9MYCO,Cytoplasmic,0.0001,0.0952,0.8923,0.0061,0.0041,0.0021
70,tr|A0A058ZK49|A0A058ZK49_9RHOB,Cytoplasmic,0.0000,0.0028,0.9961,0.0002,0.0005,0.0004
71,tr|A0A059DL83|A0A059DL83_9PROT,Cytoplasmic,0.0000,0.0024,0.9464,0.0440,0.0057,0.0015
72,tr|A0A059F9W8|A0A059F9W8_9PROT,Cytoplasmic,0.0000,0.0051,0.9377,0.0497,0.0054,0.0021
73,tr|A0A059KNG9|A0A059KNG9_9BURK,Cytoplasmic,0.0000,0.0943,0.8946,0.0093,0.0013,0.0005
74,tr|A0A059KRX4|A0A059KRX4_9BURK,Cytoplasmic,0.0000,0.1720,0.8066,0.0199,0.0010,0.0005
75,tr|A0A059L839|A0A059L839_9PSED,Cytoplasmic,0.0000,0.0061,0.9859,0.0009,0.0057,0.0014
76,tr|A0A059L9G3|A0A059L9G3_9PSED,Cytoplasmic,0.0000,0.0033,0.9944,0.0005,0.0010,0.0009
77,tr|A0A059VUS5|A0A059VUS5_STRNR,Cytoplasmic,0.0000,0.0219,0.9774,0.0002,0.0004,0.0002
78,tr|A0A059WQ78|A0A059WQ78_9BACT,Cytoplasmic,0.0000,0.0053,0.9826,0.0033,0.0083,0.0004
79,tr|A0A059ZJX3|A0A059ZJX3_ACIBA,Cytoplasmic,0.0000,0.0021,0.9953,0.0006,0.0018,0.0002
80,tr|A0A060I0A4|A0A060I0A4_RHIET,Cytoplasmic,0.0000,0.0057,0.9923,0.0008,0.0006,0.0006
81,tr|A0A060I4W5|A0A060I4W5_RHIET,Cytoplasmic,0.0000,0.0181,0.9756,0.0035,0.0016,0.0011
