Accession,File,Error
A0A1Z9LHP9,/local/workdir/djl294/all_mif_structs/A0A1Z9LHP9.pdb,"The file has 0 models, the given model 1 does not exist"
A0A2A4R048,/local/workdir/djl294/all_mif_structs/A0A2A4R048.pdb,"The file has 0 models, the given model 1 does not exist"
A0A2D7JE94,/local/workdir/djl294/all_mif_structs/A0A2D7JE94.pdb,"The file has 0 models, the given model 1 does not exist"
A0A2G2M7X0,/local/workdir/djl294/all_mif_structs/A0A2G2M7X0.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8D4VP77,/local/workdir/djl294/all_mif_structs/A0A8D4VP77.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8J2FT15,/local/workdir/djl294/all_mif_structs/A0A8J2FT15.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8J2XB43,/local/workdir/djl294/all_mif_structs/A0A8J2XB43.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8J3DII1,/local/workdir/djl294/all_mif_structs/A0A8J3DII1.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8J6QCP9,/local/workdir/djl294/all_mif_structs/A0A8J6QCP9.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8J6RSU8,/local/workdir/djl294/all_mif_structs/A0A8J6RSU8.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8J6UUA4,/local/workdir/djl294/all_mif_structs/A0A8J6UUA4.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8J6UUG1,/local/workdir/djl294/all_mif_structs/A0A8J6UUG1.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8J6VGN6,/local/workdir/djl294/all_mif_structs/A0A8J6VGN6.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8J6V6B7,/local/workdir/djl294/all_mif_structs/A0A8J6V6B7.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8J6W7B3,/local/workdir/djl294/all_mif_structs/A0A8J6W7B3.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8J6VJ87,/local/workdir/djl294/all_mif_structs/A0A8J6VJ87.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8J7A3U4,/local/workdir/djl294/all_mif_structs/A0A8J7A3U4.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8J7A423,/local/workdir/djl294/all_mif_structs/A0A8J7A423.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8J7AU51,/local/workdir/djl294/all_mif_structs/A0A8J7AU51.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8J7AYB9,/local/workdir/djl294/all_mif_structs/A0A8J7AYB9.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8J7BS31,/local/workdir/djl294/all_mif_structs/A0A8J7BS31.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8J7EJK1,/local/workdir/djl294/all_mif_structs/A0A8J7EJK1.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8J7E2V4,/local/workdir/djl294/all_mif_structs/A0A8J7E2V4.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8J6WHV2,/local/workdir/djl294/all_mif_structs/A0A8J6WHV2.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8J7BAA8,/local/workdir/djl294/all_mif_structs/A0A8J7BAA8.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8J7DWY3,/local/workdir/djl294/all_mif_structs/A0A8J7DWY3.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8J7FQB2,/local/workdir/djl294/all_mif_structs/A0A8J7FQB2.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8J7JWK1,/local/workdir/djl294/all_mif_structs/A0A8J7JWK1.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8J7LDE3,/local/workdir/djl294/all_mif_structs/A0A8J7LDE3.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8S9DXQ1,/local/workdir/djl294/all_mif_structs/A0A8S9DXQ1.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8T3KXA3,/local/workdir/djl294/all_mif_structs/A0A8T3KXA3.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8T7CSR9,/local/workdir/djl294/all_mif_structs/A0A8T7CSR9.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8T7DLL0,/local/workdir/djl294/all_mif_structs/A0A8T7DLL0.pdb,"The file has 0 models, the given model 1 does not exist"
A0A8T7D0C8,/local/workdir/djl294/all_mif_structs/A0A8T7D0C8.pdb,"The file has 0 models, the given model 1 does not exist"
