,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
0,tr|A0A060I300|A0A060I300_RHIET,Cytoplasmic,0.0001,0.0210,0.9681,0.0045,0.0039,0.0023
1,tr|A0A060M7A0|A0A060M7A0_9BACI,Cytoplasmic,0.0003,0.0578,0.6188,0.2832,0.0397,0.0003
2,tr|A0A062VCH4|A0A062VCH4_9PROT,Cytoplasmic,0.0000,0.0050,0.9740,0.0017,0.0162,0.0031
3,tr|A0A071ML38|A0A071ML38_9BURK,Cytoplasmic,0.0000,0.0994,0.8972,0.0017,0.0009,0.0007
4,tr|A0A074LUR1|A0A074LUR1_9BACL,Cytoplasmic,0.0017,0.1859,0.7065,0.0121,0.0900,0.0038
5,tr|A0A077K980|A0A077K980_9BACT,Cytoplasmic,0.0003,0.0104,0.9344,0.0148,0.0373,0.0029
6,tr|A0A084DBK5|A0A084DBK5_9BURK,Cytoplasmic,0.0000,0.1070,0.8883,0.0022,0.0012,0.0013
7,tr|A0A085G1G7|A0A085G1G7_EWIA3,Cytoplasmic,0.0002,0.0385,0.9268,0.0229,0.0099,0.0018
8,tr|A0A095VF86|A0A095VF86_9BURK,Cytoplasmic,0.0000,0.0003,0.9930,0.0008,0.0012,0.0046
9,tr|A0A0A8EDB3|A0A0A8EDB3_9ACTN,Cytoplasmic,0.0001,0.0899,0.9061,0.0004,0.0033,0.0002
10,tr|A0A0B1YMB9|A0A0B1YMB9_9RALS,Cytoplasmic,0.0000,0.0190,0.9738,0.0041,0.0018,0.0013
11,tr|A0A0B2B229|A0A0B2B229_9ACTN,Cytoplasmic,0.0002,0.0221,0.9441,0.0330,0.0005,0.0002
12,tr|A0A0C3RBI9|A0A0C3RBI9_9PROT,Cytoplasmic,0.0003,0.0099,0.8971,0.0188,0.0669,0.0069
13,tr|A0A0C5IY25|A0A0C5IY25_9PROT,Cytoplasmic,0.0002,0.0021,0.9760,0.0083,0.0128,0.0006
14,tr|A0A0D0JQH4|A0A0D0JQH4_9NOCA,Cytoplasmic,0.0003,0.0062,0.8835,0.0421,0.0463,0.0215
15,tr|A0A0D0NE93|A0A0D0NE93_KITGR,Cytoplasmic,0.0000,0.0534,0.9398,0.0056,0.0005,0.0006
16,tr|A0A0D6P3I9|A0A0D6P3I9_9PROT,Cytoplasmic,0.0000,0.1523,0.8230,0.0244,0.0002,0.0001
17,tr|A0A0D6QJX1|A0A0D6QJX1_9BACT,Cytoplasmic,0.0003,0.2927,0.6462,0.0458,0.0147,0.0003
